quantity_per_item,items
1.0,2509
2.0,166
3.0,155
4.0,881
5.0,157
6.0,70
7.0,6558
8.0,70
9.0,82
10.0,383
11.0,16
12.0,121
13.0,28
14.0,6088
15.0,211
16.0,1264
18.0,41
19.0,1
20.0,112
21.0,204
24.0,91
25.0,1
26.0,3
27.0,6
28.0,18692
29.0,2
30.0,2918
31.0,4
32.0,8909
34.0,2
35.0,4
36.0,38
38.0,3
40.0,37
42.0,201
44.0,4
45.0,8
46.0,1
47.0,1
48.0,19
49.0,1
50.0,459
51.0,1
52.0,1
54.0,2
56.0,5157
60.0,1392
62.0,13
63.0,2
64.0,865
67.0,1
70.0,5
72.0,3
75.0,11
80.0,1
84.0,894
87.0,1
90.0,82
96.0,63
99.0,1
100.0,4598
110.0,1
112.0,183
120.0,80
128.0,32
132.0,1
135.0,1
140.0,9
144.0,11
150.0,15
152.0,1
160.0,1
168.0,88
180.0,19
192.0,8
200.0,295
224.0,149
240.0,14
252.0,22
300.0,41
336.0,22
400.0,8
448.0,9
672.0,1
